Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Thinking in Systems: A Primer,Donella H. Meadows,"",9781603580557,paperback,to-read,2023/03/03,"","",0,"",,,,,,,,,"",,"",No
Everybody Matters: The Extraordinary Power of Caring for Your People Like Family,"Raj Sisodia, Bob Chapman",Steven Menasche (Narrator),9781520078199,audio,read,2022/12/29,"","",1,"",,,,,,,,,"",,"",No
You Are Not a Sh*tty Parent: How to Practice Self-Compassion and Give Yourself a Break,Carla Naumburg,"",9781523517114,paperback,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,"",No
Grip: The Art of Working Smart,Rick Pastoor,"Elizabeth Manton (Translator), Erica Moore (Translator)",9781400233687,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Inspired: How to Create Tech Products Customers Love,Marty Cagan,"",9781119387503,hardcover,to-read,2023/03/02,"","",0,"",,,,,,,,,"",,"",No
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,"",0787960756,paperback,to-read,2023/05/15,"","",0,"",,,,,,,,,"",,"",Yes
Foundation,Isaac Asimov,"",9780553803716,hardcover,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
The Motivation Code: Discover the Hidden Forces That Drive Your Best Work,"Todd Henry, Todd W. Hall, Rod Penner","",9780593191651,hardcover,to-read,2022/12/27,"","",0,"",,,,,,,,,"",,"",No
Educated,Tara Westover,"",9780399590511,digital,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald Robertson,"",9781250621436,paperback,read,2022/09/28,2024/05/20,2024/05/10-2024/05/20,1,"",,,,,,,4.0,,"","","",No
10% Happier,Dan Harris,"",9780062265425,hardcover,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Blink,Malcolm Gladwell,"",9780316010665,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
How to Read a Book,"Mortimer J. Adler, Charles Van Doren","",9780671212094,paperback,did-not-finish,2022/09/29,"","",0,"",,,,,,,,,"",,"",No
The Warden and the Wolf King,"Andrew Peterson, Joe Sutphin","",B082S3BX9G,digital,read,2024/12/14,2025/02/27,2024/12/14-2025/02/27,1,"",,"","","","","",4.0,"","","",read-to-lola,No
The History of the Decline and Fall of the Roman Empire: Volume 1,Edward Gibbon,"",9780140433937,paperback,to-read,2023/01/07,"","",0,"",,,,,,,,,"",,"",No
Meditations: A New Translation,Marcus Aurelius,Gregory Hays (Translator),9780679642602,hardcover,to-read,2025/11/19,2022/09/23,2022/09/23,1,"challenging, emotional, hopeful, inspiring, reflective",slow,,,,,,5.0,"","","","",No
Shoe Dog,Phil Knight,"",9781501135910,hardcover,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"",9780735216358,hardcover,to-read,2023/04/14,"","",0,"",,,,,,,,,"",,"",No
A Game of Thrones,George R.R. Martin,"",9780553588484,paperback,"","","","","","","","","","","","","","","","",audible,No
Harry Potter: The Complete Collection,J.K. Rowling,"",9781781106471,digital,"","","","","","","","","","","","","","","","",read-to-lola,No
"Simplicity Parenting: Using the Extraordinary Power of Less to Raise Calmer, Happier, and More Secure Kids","Kim John Payne, Lisa M. Ross","",B002LLRDS8,digital,"","","","","","","","","","","","","","","","",recommended,No
The Creative Act: A Way of Being,Rick Rubin,"",9780593652886,hardcover,"","","","","","","","","","","","","","","","",recommended,No
Harry Potter and the Order of the Phoenix,J.K. Rowling,Mary GrandPré (Illustrator),9780613999168,paperback,"","","","","","","","","","","","","","","","",read-to-lola,Yes
The Screwtape Letters,C.S. Lewis,"",9780060652937,paperback,"","","","","","","","","","","","","","","","",recommended,No
A Tale of Magic...,Chris Colfer,"",9780316523479,hardcover,"","","","","","","","","","","","","","","","","",Yes
