Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,"Alan Eagle, Jonathan Rosenberg, Eric Schmidt","",9780062839268,hardcover,read,2022/09/28,2023/01/20,2023/01/20,1,"",,,,,,,4.0,,"",,"",No
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"",9781984878106,hardcover,to-read,2022/09/25,"","",0,"",,,,,,,,,"",,"",No
"How to Stop Losing Your Sh*t with Your Kids: A Practical Guide to Becoming a Calmer, Happier Parent",Carla Naumburg,"",9781523505425,paperback,to-read,2023/03/22,"","",0,"",,,,,,,,,"",,"",No
Ego Is the Enemy,Ryan Holiday,"",9780698292157,digital,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",Yes
The 48 Laws of Power,Robert Greene,"",9780140280197,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Modern Man in Search of a Soul,C.G. Jung,"W.S. Dell (Translator), Cary F. Baynes (Translator)",9780156612067,paperback,to-read,2023/05/30,"","",0,"",,,,,,,,,"",,"",No
Letters to a Young Contrarian,Christopher Hitchens,"",9780465030330,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking",Sönke Ahrens,"",9783982438801,paperback,read,2022/12/29,"","",1,"",,,,,,,,,"",,"",No
Home Before Dark,Riley Sager,"",9781524745172,hardcover,read,2024/10/18,2024/10/26,2024/10/18-2024/10/26,1,"dark, mysterious, sad, tense",slow,A mix,No,It's complicated,N/A,No,3.5,"","","",chloes-book,No
How to Win Friends and Influence People,Dale Carnegie,"",9789387669178,hardcover,read,2022/12/29,"","",1,"",,,,,,,,,"",,"",No
Find Your Why: A Practical Guide for Discovering Purpose for You and Your Team,"David Mead, Peter Docker, Simon Sinek","","",digital,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Existentialism Is a Humanism,Jean-Paul Sartre,"","",digital,paused,2024/12/26,"","",0,"",,,,,,,,,"",,"",No
2001: A Space Odyssey,Arthur C. Clarke,"",9780751573756,paperback,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
"Mornings on Horseback: The Story of an Extraordinary Family, a Vanished Way of Life and the Unique Child Who Became Theodore Roosevelt",David McCullough,"",9780671447540,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
The Boy Who Would Be King: A Fable About Marcus Aurelius,Ryan Holiday,Victor Juhasz,"",digital,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
One Small Step Can Change Your Life: The Kaizen Way,Robert Maurer,"",9780761180326,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Socrates: A Very Short Introduction,C.C.W. Taylor,"",9780198835981,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Beyond Good and Evil,Friedrich Nietzsche,R.J. Hollingdale (Translator),9780141902630,digital,to-read,2023/05/28,"","",0,"",,,,,,,,,"",,"",Yes
A Grimm Warning,Chris Colfer,"",9780316406819,hardcover,read,2025/08/29,2025/11/29,2025/08/28-2025/11/29,1,"",,,,,,,,,"",,"",No
Starship Troopers,Robert A. Heinlein,"",9780340837931,paperback,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
1984,George Orwell,"",9780547249643,digital,read,2024/06/09,2024/09/04,2024/06/09-2024/09/04,1,"dark, reflective, tense",medium,Character,Yes,Yes,It's complicated,No,5.0,,"","","",No
Genius: The Life and Science of Richard Feynman,James Gleick,"",9780679747048,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
"Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo",Plato,"John M. Cooper (Contributor), G.M.A. Grube (Translator)",9780872206335,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Discourses and Selected Writings,Epictetus,Robert F. Dobbin (Translator),9780140449464,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",Yes
Letters from a Stoic (Collins Classics),Lucius Annaeus Seneca,"","",digital,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",Yes
The Godfather,Mario Puzo,"",0099429284,paperback,currently-reading,2025/10/16,"","",0,"",,,,,,,,,"",,"",No
"Wherever You Go, There You Are",Jon Kabat-Zinn,"","",digital,did-not-finish,2023/01/08,"","",0,"",,,,,,,,"<div>While I'd like to come back to this book, I don't think it is serving me as much as I needed to at this time. I think there are other books that'd serve me better.</div>","","","",Yes
Discourses and Selected Writings,Epictetus,"","",digital,to-read,2025/08/22,"","",0,"",,,,,,,,,"",,"",No
1984,George Orwell,"",9781328869333,hardcover,to-read,2023/12/06,"","",0,"",,,,,,,,,"",,"",Yes
"The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations","John Willis, Gene Kim, Patrick Debois","",9781942788003,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"",9780307886255,digital,to-read,2023/11/20,"","",0,"",,,,,,,,,"",,"",No
Between Two Fires,Christopher Buehlman,"",B086R5ZH1Z,digital,to-read,2024/10/27,"","",0,"",,,,,,,,,"",,"",No
How to Flourish: An Ancient Guide to Living Well,Aristotle,"Hannibal Hills (Narrator), Susan Sauvé Meyer (Translator)",9781696610957,audio,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,"",No
The Silent Patient,Alex Michaelides,"",9781250301697,hardcover,read,2022/09/28,2023/05/09,2022/12/29-2023/05/09,1,"",,"","","","","",3.5,<div>A masterful manipulation of the reader’s senses…</div>,"","","read-together, chloes-book",No
"Strong Fathers, Strong Daughters: 10 Secrets Every Father Should Know",Meg Meeker,"",9781596980129,hardcover,to-read,2023/06/15,"","",0,"",,,,,,,,,"",,"",No
The Hobbit,J.R.R. Tolkien,"",9780547951973,digital,read,2023/05/24,2025/04/25,2025/02/28-2025/04/25,1,"",,,,,,,,,"",,read-to-lola,Yes
The Imposter Cure: How to stop feeling like a fraud and escape the mind-trap of imposter syndrome,Jessamy Hibberd,"",9781783253326,digital,to-read,2023/01/06,"","",0,"",,,,,,,,,"",,"",No
Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"",9781250103505,hardcover,to-read,2023/01/17,"","",0,"",,,,,,,,,"",,"",No
On Bullshit,Harry G. Frankfurt,"","",digital,to-read,2023/03/18,"","",0,"",,,,,,,,,"",,"",No
Team Topologies: Organizing Business and Technology Teams for Fast Flow,"Manuel Pais, Matthew Skelton","",9781942788812,paperback,to-read,2023/04/30,"","",0,"",,,,,,,,,"",,"",No
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"",9780062457714,hardcover,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
A River Runs Through It and Other Stories,Norman Maclean,Robert Redford (Contributor),9780226472065,paperback,read,2023/09/02,2023/09/05,2023/08/27-2023/09/05,1,"",,,,,,,,,"",,"",No
Small Things Like These,Claire Keegan,"",9780571368686,hardcover,read,2025/04/08,2025/04/07,2025/04/07-2025/04/07,1,"hopeful, inspiring, reflective",fast,Character,Yes,Yes,No,No,5.0,"","","","",No
Waiting for Godot,Samuel Beckett,"Zachary Fox (Narrator), Terence Rigby (Narrator), Sean Barrett (Narrator), Nigel Anthony (Narrator), David Burke (Narrator)",9789629546816,audio,read,2018/05/11,"","",1,"",,,,,,,,,"",,"",No
The Catcher in the Rye,J.D. Salinger,"",9783150198100,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
On the Edge of the Dark Sea of Darkness,Andrew Peterson,"",9780307446657,digital,read,2024/04/15,2024/06/03,2024/04/14-2024/06/03,1,"adventurous, hopeful, mysterious",slow,A mix,Yes,Yes,It's complicated,No,4.5,,"","",read-to-lola,No
Drive: The Surprising Truth about What Motivates Us,Daniel H. Pink,Daniel H. Pink (Narrator),9780143145080,audio,currently-reading,2022/08/16,"","",0,"",,,,,,,,,"",,"",No
The Well of Ascension,Brandon Sanderson,"",9780765316882,hardcover,read,2025/09/24,2025/11/07,2025/09/24-2025/11/07,1,"adventurous, inspiring, mysterious",medium,A mix,Yes,Yes,Yes,No,4.5,,"","","",No
Getting Things Done: The Art of Stress-Free Productivity,David Allen,"",9780143126560,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Outliers: The Story of Success,Malcolm Gladwell,"",9780316017923,hardcover,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
"Memories, Dreams, Reflections",Carl G. Jung,"Clara Winston (Translator), Richard Winston (Translator), Aniela Jaffé",9780679723950,paperback,to-read,2023/05/30,"","",0,"",,,,,,,,,"",,"",No
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,"",9780316478526,hardcover,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Catch-22,Joseph Heller,"",9780684833392,paperback,to-read,2023/05/31,"","",0,"",,,,,,,,,"",,"",No
This Is Your Mind on Plants,Michael Pollan,"",9780593296905,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
The Power of Giving Away Power: How the Best Leaders Learn to Let Go,Matthew Barzun,"",9780525541042,hardcover,to-read,2023/01/22,"","",0,"",,,,,,,,,"",,"",No
Chatter,Ethan Kross,"",9780525575238,hardcover,to-read,2024/10/07,"","",0,"",,,,,,,,,"",,"",No
Hatchet,Gary Paulsen,"",9780689840920,hardcover,read,2022/08/16,2022/09/25,2022/09/25,1,"",,,,,,,4.0,,"",,read-to-lola,No
The Paradox of Choice: Why More Is Less,Barry Schwartz,"",9780060005696,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
When Breath Becomes Air,Paul Kalanithi,"Lucy Kalanithi (Contributor), Abraham Verghese (Contributor)",9781473523494,digital,to-read,2023/05/03,"","",0,"",,,,,,,,,"",,"",No
The Republic of Plato,"Plato, Allan Bloom","","",digital,did-not-finish,2024/12/27,"","",0,"",,,,,,,,,"",,"",No
The Book of Disquiet: The Complete Edition,Fernando Pessoa,Margaret Jull Costa (Translator),9780811226936,hardcover,to-read,2023/05/27,"","",0,"",,,,,,,,,"",,"",Yes
The Dispossessed,Ursula K. Le Guin,"",9780575079037,paperback,to-read,2024/01/04,"","",0,"",,,,,,,,,"",,"",No
What Makes Sammy Run?,Budd Schulberg,"",9780679734222,paperback,read,2022/12/29,"","",1,"",,,,,,,,,"",,favorites,No
Courage Is Calling: Fortune Favors the Brave,Ryan Holiday,Ryan Holiday (Narrator),9780593456262,audio,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
The Grapes of Wrath,John Steinbeck,"",9780143039433,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,"Stephen Hanselman, Ryan Holiday","",9780525541875,hardcover,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Howl's Moving Castle,Diana Wynne Jones,"",9780062244512,digital,read,2024/03/09,2024/04/14,2024/03/09-2024/04/14,1,"adventurous, challenging, mysterious",slow,A mix,No,It's complicated,Yes,No,3.0,"","","",read-to-lola,No
Stillness Is the Key,Ryan Holiday,"",9780525538585,hardcover,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",Yes
Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"",9781982167387,hardcover,read,2022/12/28,2023/01/07,2022/12/29-2023/01/07,1,"",,,,,,,4.0,,"","","",Yes
Tales from Shakespeare,"Mary Lamb, Charles Lamb","",9780141321684,paperback,did-not-finish,2025/01/05,"","",0,"",,,,,,,,,"",,"",No
The Butlerian Jihad,"Brian Herbert, Kevin J. Anderson","",9781250208545,paperback,to-read,2023/05/28,"","",0,"",,,,,,,,,"",,"",No
The House Across the Lake,Riley Sager,"",9780593183199,hardcover,read,2024/10/29,2024/11/09,2024/10/27-2024/11/09,1,"dark, mysterious, tense",slow,A mix,It's complicated,It's complicated,No,No,3.75,"","","",chloes-book,No
How to Read a Book: The Classic Guide to Intelligent Reading,"Mortimer J. Adler, Charles Van Doren",Edward Holland (Narrator),9781797139852,audio,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
"Candide, or Optimism",Voltaire,Theo Cuffe (Translator),9780140455106,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,"",9780399592553,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"",9781473537804,digital,did-not-finish,2022/09/28,2023/03/23,2023/03/23,1,"",,,,,,,,,"",,"",Yes
The Art of Possibility: Transforming Professional and Personal Life,"Benjamin Zander, Rosamund Stone Zander","",9780142001103,paperback,did-not-finish,2023/09/20,"","",0,"",,,,,,,,,"",,"",No
Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,"",9780593191699,hardcover,read,2022/12/29,2025/07/15,2025/05/30-2025/07/15,1,"hopeful, inspiring, reflective",fast,,,,,,3.5,"","","","",No
The Thursday Murder Club,Richard Osman,"",9780241988275,digital,to-read,2024/06/04,"","",0,"",,,,,,,,,"",,"",Yes
"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness","Jonas Salzgeber, Nils Salzgeber","",,digital,to-read,2023/01/07,"","",0,"",,,,,,,,,"",,"",No
The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"",9780316219266,hardcover,read,2022/12/29,"","",1,"",,,,,,,,,"",,"",No
Becoming Trader Joe: How I Did Business My Way and Still Beat the Big Guys,"Patty Civalleri, Joe Coulombe","",9781400225439,paperback,to-read,2023/05/09,"","",0,"",,,,,,,,,"",,"",No
Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Jake Knapp, Braden Kowitz, John Zeratsky","",9781501121746,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
"Just Work: Get Sh*t Done, Fast & Fair",Kim Scott,"",9781250203489,hardcover,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
"The Essential Epicurus: Letters, Principal Doctrines, Vatican Sayings, and Fragments",Epicurus,Eugene M. O'Connor (Translator),9780879758103,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Stranger in a Strange Land,Robert A. Heinlein,"",9780143111627,hardcover,to-read,2023/05/20,"","",0,"",,,,,,,,,"",,"",No
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,"",9781455554799,hardcover,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Dune,Frank Herbert,Brian Herbert (Contributor),9781101658055,digital,read,2022/09/28,2023/05/21,2023/05/09-2023/05/21,1,"adventurous, challenging, dark, mysterious",slow,A mix,It's complicated,It's complicated,Yes,No,5.0,"","","",favorites,Yes
"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win","George Spafford, Gene Kim, Kevin Behr","",9781942788294,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
The Symposium,Plato,Christopher Gill (Translator),9780140449273,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
The Sound and the Fury,William Faulkner,"",9780679732242,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,Renée Mauborgne,9781591396192,hardcover,to-read,2023/03/02,"","",0,"",,,,,,,,,"",,"",No
How to Live on 24 Hours a Day,Arnold Bennett,"",9781406922905,paperback,to-read,2023/01/09,"","",0,"",,,,,,,,,"",,"",No
Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,"",9780894864025,paperback,to-read,2023/04/30,"","",0,"",,,,,,,,,"",,"",No
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,"",9781626251700,paperback,to-read,2023/04/30,"","",0,"",,,,,,,,,"",,"",No
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,ภัทริณี เจริญจินดา (Translator),9781878424501,hardcover,to-read,2023/02/17,"","",0,"",,,,,,,,,"",,"",No
